iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
1,B,X,None,0.6753246753246753,0.5531914893617021,0.4727272727272727,0.5098039215686274,0.7007346189164371,1024,1024.0,1024,1.4527002739996533,0.00795529999959399,0.009310162818192939,0.03428119999989576
2,B,X,None,0.6623376623376623,0.5319148936170213,0.45454545454545453,0.49019607843137253,0.6967860422405877,1024,1024.0,1024,1.3623591720006516,0.008092199001112022,0.00872869527270209,0.015903399000308127
3,B,X,None,0.6883116883116883,0.574468085106383,0.4909090909090909,0.5294117647058824,0.6977961432506887,1024,1024.0,1024,1.4410102710007777,0.008130899001116632,0.009233562805187735,0.017936099999133148
4,B,X,None,0.6948051948051948,0.5869565217391305,0.4909090909090909,0.5346534653465347,0.6947658402203858,1024,1024.0,1024,1.4645465699995839,0.00802040000053239,0.009384345915598467,0.01689219900072203
5,B,X,None,0.6818181818181818,0.5681818181818182,0.45454545454545453,0.5050505050505051,0.6987144168962351,1024,1024.0,1024,1.4425712709999061,0.00809790000130306,0.009242388129867133,0.014155299000776722
6,B,X,None,0.6753246753246753,0.5510204081632653,0.4909090909090909,0.5192307692307693,0.6882460973370064,1024,1024.0,1024,1.364076179001131,0.008012300000700634,0.008738547915586365,0.012256198999239132
7,B,X,None,0.6623376623376623,0.5306122448979592,0.4727272727272727,0.5,0.6953168044077135,1024,1024.0,1024,1.4227620189994923,0.008081699999820557,0.009114177396157459,0.013879300000553485
8,B,X,None,0.6688311688311688,0.5434782608695652,0.45454545454545453,0.49504950495049505,0.6873278236914601,1024,1024.0,1024,1.775543921999997,0.008090299999821582,0.011358137149396829,0.05235360099868558
9,B,X,None,0.6948051948051948,0.5909090909090909,0.4727272727272727,0.5252525252525253,0.6941230486685033,1024,1024.0,1024,1.4238477190010599,0.007908400000815163,0.00912115531819281,0.02437660000032338
10,B,X,None,0.6818181818181818,0.5652173913043478,0.4727272727272727,0.5148514851485149,0.6991735537190082,1024,1024.0,1024,1.3919129169989901,0.00792159999946307,0.008918876084496699,0.014517800000248826
11,B,X,None,0.6623376623376623,0.5319148936170213,0.45454545454545453,0.49019607843137253,0.6946740128558311,1024,1024.0,1024,1.3720800169994618,0.007908399998996174,0.008789346863629255,0.012839200000598794
12,B,X,None,0.6818181818181818,0.5652173913043478,0.4727272727272727,0.5148514851485149,0.6973370064279154,1024,1024.0,1024,1.4369758680004452,0.008060502001171699,0.009203334824574144,0.012780203998772777
13,B,X,None,0.6818181818181818,0.5652173913043478,0.4727272727272727,0.5148514851485149,0.6934802571166209,1024,1024.0,1024,1.3997118709994538,0.007889902999522747,0.008946257577918004,0.018706306000240147
14,B,X,None,0.6753246753246753,0.5531914893617021,0.4727272727272727,0.5098039215686274,0.6887052341597796,1024,1024.0,1024,1.39964406999934,0.007944402999783051,0.008965671850623417,0.012561303999973461
15,B,X,None,0.6623376623376623,0.5306122448979592,0.4727272727272727,0.5,0.6909090909090909,1024,1024.0,1024,1.4169334769994748,0.00792800299859664,0.009077854337629579,0.012797104000128456
16,B,X,None,0.6883116883116883,0.5777777777777777,0.4727272727272727,0.52,0.7015610651974289,1024,1024.0,1024,1.4048687720005546,0.007931002999612247,0.009001452370143085,0.012113304001104552
17,B,X,None,0.7077922077922078,0.6136363636363636,0.4909090909090909,0.5454545454545454,0.6975206611570247,1024,1024.0,1024,1.3886995789998764,0.007905303000370623,0.008895507610381551,0.012880705000497983
18,B,X,None,0.6558441558441559,0.5217391304347826,0.43636363636363634,0.4752475247524752,0.6761248852157943,1024,1024.0,1024,1.3839837920004356,0.007992904000275303,0.00886430898698528,0.011987604999376344
19,B,X,None,0.6753246753246753,0.5555555555555556,0.45454545454545453,0.5,0.6946740128558311,1024,1024.0,1024,1.3873613939995266,0.007952403000672348,0.008866610259813912,0.014020705999428174
