iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
1,C,X,None,0.6842105263157895,0.6635514018691588,1.0,0.797752808988764,0.9305601048149361,1024,1024.0,1024,1.070013630000176,0.008134600999255781,0.009261386219326309,0.012853300000642776
2,C,X,None,0.7017543859649122,0.6761904761904762,1.0,0.8068181818181818,0.9133639043563708,1024,1024.0,1024,1.071134287998575,0.00807390000045416,0.009273875342060228,0.012013800000204355
3,C,X,None,0.6842105263157895,0.6635514018691588,1.0,0.797752808988764,0.9086144775630528,1024,1024.0,1024,1.0753968610006268,0.00811500000054366,0.009312754043939844,0.013837698999850545
4,C,X,None,0.7017543859649122,0.6761904761904762,1.0,0.8068181818181818,0.9028824107435309,1024,1024.0,1024,1.0959836609999911,0.008266399001513491,0.009490254929611789,0.015303698999559856
5,C,X,None,0.7105263157894737,0.6826923076923077,1.0,0.8114285714285714,0.9120537176547658,1024,1024.0,1024,1.059561862000919,0.008034299999053474,0.009174983894697283,0.012785099999746308
6,C,X,None,0.6929824561403509,0.6698113207547169,1.0,0.8022598870056498,0.9117261709793646,1024,1024.0,1024,1.003453964000073,0.007967000001372071,0.008689962842094758,0.012417500000083237
7,C,X,None,0.7017543859649122,0.6761904761904762,1.0,0.8068181818181818,0.9168031444480839,1024,1024.0,1024,1.0531347619998996,0.007977499999469728,0.009120904061331347,0.013438498999676085
8,C,X,None,0.6929824561403509,0.6698113207547169,1.0,0.8022598870056498,0.9254831313462168,1024,1024.0,1024,1.1325148599989916,0.00823090000085358,0.009805601403601477,0.015231398998366785
9,C,X,None,0.7017543859649122,0.6761904761904762,1.0,0.8068181818181818,0.916311824434982,1024,1024.0,1024,1.0738168360003328,0.008025197999813827,0.009298512605375052,0.012865198001236422
10,C,X,None,0.7017543859649122,0.6761904761904762,1.0,0.8068181818181818,0.9102522109400589,1024,1024.0,1024,1.0736295289989357,0.00810459900094429,0.009295717815787117,0.014876897999783978
11,C,X,None,0.7105263157894737,0.6826923076923077,1.0,0.8114285714285714,0.9099246642646577,1024,1024.0,1024,1.090252526999393,0.007993197999894619,0.009440731833357157,0.01346089799881156
12,C,X,None,0.6929824561403509,0.6698113207547169,1.0,0.8022598870056498,0.9117261709793646,1024,1024.0,1024,1.2043963080013782,0.008350897998752771,0.0104275649999564,0.014418697999644792
13,C,X,None,0.7017543859649122,0.6761904761904762,1.0,0.8068181818181818,0.9169669177857844,1024,1024.0,1024,1.1593185159999848,0.008253998999862233,0.010036889631568588,0.015283597000234295
14,C,X,None,0.7017543859649122,0.6761904761904762,1.0,0.8068181818181818,0.9104159842777596,1024,1024.0,1024,1.1725540139996156,0.008579997998822364,0.01015413263146975,0.016190096999707748
15,C,X,None,0.7192982456140351,0.6893203883495146,1.0,0.8160919540229885,0.9092695709138552,1024,1024.0,1024,1.0741304290004337,0.008105098999294569,0.009299929210579936,0.012367897999865818
16,C,X,None,0.6929824561403509,0.6698113207547169,1.0,0.8022598870056498,0.9184408778250901,1024,1024.0,1024,1.0485123400012526,0.008132398001180263,0.00907905740339693,0.01273299799868255
17,C,X,None,0.7105263157894737,0.6826923076923077,1.0,0.8114285714285714,0.9184408778250901,1024,1024.0,1024,1.0536772159994143,0.00806619899958605,0.00912535102621373,0.014396898999621044
18,C,X,None,0.6929824561403509,0.6698113207547169,1.0,0.8022598870056498,0.9143465443825745,1024,1024.0,1024,1.0396962169998005,0.008043498999541043,0.00900478173689248,0.012780799001120613
19,C,X,None,0.7192982456140351,0.6893203883495146,1.0,0.8160919540229885,0.9123812643301671,1024,1024.0,1024,1.0917024129994388,0.008251399000073434,0.009454102763125423,0.013413899001534446
20,C,X,None,0.7105263157894737,0.6826923076923077,1.0,0.8114285714285714,0.9112348509662627,1024,1024.0,1024,1.123467810000875,0.008076500000242959,0.00972950449122117,0.013220399001511396
21,C,X,None,0.7017543859649122,0.6761904761904762,1.0,0.8068181818181818,0.9171306911234851,1024,1024.0,1024,1.9144624470009148,0.00839029899907473,0.016596980245658574,0.07917469300082303
22,C,X,None,0.7105263157894737,0.6826923076923077,1.0,0.8114285714285714,0.9212250245660006,1024,1024.0,1024,1.4500382850001188,0.00905319900084578,0.012550061280722858,0.02596249800080841
23,C,X,None,0.6929824561403509,0.6698113207547169,1.0,0.8022598870056498,0.9087782509007534,1024,1024.0,1024,1.5528237060007086,0.009000710999316652,0.013447813938543269,0.028908734000651748
24,C,X,None,0.7192982456140351,0.6893203883495146,1.0,0.8160919540229885,0.9164755977726826,1024,1024.0,1024,1.576718364000044,0.008574010000302223,0.013644795043818018,0.02547772999969311
25,C,X,None,0.7105263157894737,0.6826923076923077,1.0,0.8114285714285714,0.9226989846053063,1024,1024.0,1024,1.5049643799993646,0.008832510000502225,0.013033404903517135,0.033015139000781346
1,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.5851621356043236,1024,1024.0,1024,5.578770494001219,0.03992769700016652,0.04880045084217655,0.32436107699868444
2,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7206026858827382,1024,1024.0,1024,5.479547451999679,0.039590590000443626,0.047923440456192144,0.14591502999974182
3,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6752374713396659,1024,1024.0,1024,5.245836090998637,0.03959409699928074,0.04588377530711896,0.12439473800077394
4,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6619718309859155,1024,1024.0,1024,5.350953335000668,0.04020831199886743,0.04679867310524219,0.11407343500104616
5,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6516541107107763,1024,1024.0,1024,5.156914364999466,0.040125051000359235,0.04510080544745857,0.06582714899923303
6,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6657386177530298,1024,1024.0,1024,5.165771923999273,0.040522713999962434,0.04518099403506775,0.056531618000008166
7,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6107107762856206,1024,1024.0,1024,5.359196895000423,0.040740419000940165,0.046868829710483464,0.06028282800070883
8,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6948902718637406,1024,1024.0,1024,5.652987425999527,0.04060561900041648,0.049442493350748885,0.26325284899940016
9,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6916148051097281,1024,1024.0,1024,5.314229120000164,0.04000135600108479,0.046479126649102365,0.05604879699967569
10,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6028496560759908,1024,1024.0,1024,5.700609455998347,0.041645098999651964,0.049856020745529236,0.15264099500018347
11,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6780216180805765,1024,1024.0,1024,5.896496067000044,0.0432320060008351,0.05157506635965036,0.08752749800078163
12,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7017687520471667,1024,1024.0,1024,5.572128723000787,0.04214161700110708,0.04873685628062001,0.06530130899955111
13,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6564035375040943,1024,1024.0,1024,5.566907266998896,0.04022751699994842,0.04868780314901462,0.23578109800109814
14,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6519816573861775,1024,1024.0,1024,5.741106134000802,0.04167561999929603,0.05021391602630294,0.0922995440014347
15,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6518178840484768,1024,1024.0,1024,5.713146296999184,0.041078497999478714,0.049961138570181085,0.09771470599844179
16,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6909597117589257,1024,1024.0,1024,5.437293135999425,0.041547697999703814,0.047557380140412865,0.06253590300002543
17,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7179823124795284,1024,1024.0,1024,5.494182823000301,0.04181760299979942,0.04805510195613973,0.06295980399954715
18,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.664755977726826,1024,1024.0,1024,5.333987362000698,0.04064130200094951,0.046655466333360984,0.07051660400065884
19,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6965280052407468,1024,1024.0,1024,5.337022760999389,0.039473601998906815,0.046675461938576246,0.060800104000009014
20,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.636586963642319,1024,1024.0,1024,5.728722305999327,0.04160220199992182,0.050111363184170615,0.2609090140012995
21,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.700786112020963,1024,1024.0,1024,5.751181955998618,0.04134519900071609,0.050306575938664444,0.15810319800038997
22,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6269243367179823,1024,1024.0,1024,5.449366884999108,0.04120429199974751,0.047658436710566764,0.059461688999363105
23,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6352767769407139,1024,1024.0,1024,5.243591379999998,0.040194893001171295,0.04585876914035524,0.052066189999095513
24,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6514903373730757,1024,1024.0,1024,5.329639868999948,0.040711700999963796,0.04661655498245652,0.06557929999871703
25,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.6077628562070095,1024,1024.0,1024,5.737784824999835,0.04075700099929236,0.050193844947483614,0.24217769899951236
1,C,Y,None,0.8333333333333334,0.7954545454545454,0.9859154929577465,0.8805031446540881,0.9816573861775303,1024,1024.0,1024,1.0541793209995376,0.00805320200015558,0.00923438614036218,0.01841060600054334
2,C,Y,None,0.8157894736842105,0.7777777777777778,0.9859154929577465,0.8695652173913043,0.9801834261382246,1024,1024.0,1024,1.0705622259993106,0.008154102000844432,0.00937736163171378,0.014681804999781889
3,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9832951195545365,1024,1024.0,1024,1.014358048001668,0.008165402001395705,0.008885356561445963,0.012349103000815376
4,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9803471994759253,1024,1024.0,1024,1.0208409360002406,0.008091302001048462,0.00894251697364349,0.012216203000207315
5,C,Y,None,0.8333333333333334,0.7888888888888889,1.0,0.8819875776397516,0.982640026203734,1024,1024.0,1024,1.017780235999453,0.008093301999906544,0.008915751184232297,0.014125804000286735
6,C,Y,None,0.8070175438596491,0.7692307692307693,0.9859154929577465,0.8641975308641975,0.9796921061251228,1024,1024.0,1024,1.0852529510011664,0.008311202000186313,0.009506344306924132,0.014184903000568738
7,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9780543727481166,1024,1024.0,1024,1.0210573370004568,0.008102402000076836,0.008944537166634722,0.01235800299946277
8,C,Y,None,0.8245614035087719,0.7865168539325843,0.9859154929577465,0.875,0.9836226662299378,1024,1024.0,1024,1.0316657389994361,0.008175701999789453,0.00903753279814274,0.012905902998681995
9,C,Y,None,0.8245614035087719,0.7802197802197802,1.0,0.8765432098765432,0.9806747461513265,1024,1024.0,1024,1.0156032349987072,0.008196901999326656,0.008896564342202302,0.010551602999839815
10,C,Y,None,0.8333333333333334,0.7888888888888889,1.0,0.8819875776397516,0.981329839502129,1024,1024.0,1024,1.0773802450003132,0.008170201001121313,0.009437573201849821,0.013953003999631619
11,C,Y,None,0.8245614035087719,0.7802197802197802,1.0,0.8765432098765432,0.9816573861775304,1024,1024.0,1024,1.0269344100015587,0.008221202000640915,0.008995214991157633,0.012598802999491454
12,C,Y,None,0.8245614035087719,0.7802197802197802,1.0,0.8765432098765432,0.9836226662299377,1024,1024.0,1024,1.1286382309990586,0.00819820200013055,0.009884689745536378,0.01678400399941893
13,C,Y,None,0.8245614035087719,0.7802197802197802,1.0,0.8765432098765432,0.9816573861775302,1024,1024.0,1024,1.0817962219989568,0.008128901999953086,0.009476198438438076,0.015141002999371267
14,C,Y,None,0.8157894736842105,0.7717391304347826,1.0,0.8711656441717791,0.9819849328529315,1024,1024.0,1024,1.1010123260002729,0.008053502000620938,0.00964368706135837,0.01393280299998878
15,C,Y,None,0.8157894736842105,0.7777777777777778,0.9859154929577465,0.8695652173913043,0.9842777595807403,1024,1024.0,1024,1.03971341399847,0.008189002001017798,0.009107159771941186,0.012771701998644858
16,C,Y,None,0.8245614035087719,0.7802197802197802,1.0,0.8765432098765432,0.9783819194235177,1024,1024.0,1024,1.0764519209988066,0.00834330199904798,0.009428822114131706,0.013042103000771021
17,C,Y,None,0.8157894736842105,0.7777777777777778,0.9859154929577465,0.8695652173913043,0.982640026203734,1024,1024.0,1024,1.099855825999839,0.008680701999765006,0.00963411075440889,0.013301901999511756
18,C,Y,None,0.8070175438596491,0.7634408602150538,1.0,0.8658536585365854,0.9823124795283328,1024,1024.0,1024,1.1202753319994372,0.008476999999402324,0.009812746763137719,0.010815002999152057
19,C,Y,None,0.8157894736842105,0.7777777777777778,0.9859154929577465,0.8695652173913043,0.9810022928267278,1024,1024.0,1024,1.102051706000566,0.008257401001174003,0.009653963210535278,0.016301001000101678
