iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Min number of valids,Max number of valids,Avg number of valids,Min number of invalids,Max number of invalids,Avg number of invalids,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
1,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9063216508352441,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.6322995660011657,0.008325900000272668,0.009987142885859756,0.021452200000567245
2,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9025548640681297,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.7903236639995157,0.008449900000414345,0.010371945552721803,0.03560199899948202
3,C,X,None,0.7456140350877193,0.71,1.0,0.8304093567251462,0.9118899443170652,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.5703152699989005,0.008484400001179893,0.009696108649063319,0.01664159999927506
4,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9046839174582378,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.716381669999464,0.00849969999944733,0.010083767464988213,0.01831039999888162
5,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9022273173927285,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.6782738759993663,0.008604900000136695,0.010066645543893651,0.013967299999421812
6,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9033737307566329,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.6518041799990897,0.00852850000046601,0.009981771859569116,0.014184899999236222
7,C,X,None,0.7631578947368421,0.7244897959183674,1.0,0.8402366863905325,0.8978054372748117,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.8836513820006076,0.00857700000051409,0.010450417491340073,0.014813900001172442
8,C,X,None,0.7456140350877193,0.71,1.0,0.8304093567251462,0.9050114641336391,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.6866228859998955,0.008594499999162508,0.009976878043792232,0.019741899999644374
9,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9077956108745496,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.8095417839995207,0.008661500000016531,0.010225336815860749,0.016015699999115895
10,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9064854241729445,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.6406651839988626,0.008544000000256347,0.009896841184216324,0.012500500000896864
11,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9113986243039633,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.717015783999159,0.008594799999627867,0.010223306087729662,0.01585200000045006
12,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9071405175237471,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.753631184999904,0.008633699999336386,0.010195623657956164,0.014155999999275082
13,C,X,None,0.7456140350877193,0.71,1.0,0.8304093567251462,0.9033737307566327,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.788433585999883,0.008461999999781256,0.010328712254401276,0.029130099999747472
14,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9063216508352441,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.795909290000054,0.008493999999700463,0.010186564868378985,0.01410059999943769
15,C,X,None,0.7456140350877193,0.71,1.0,0.8304093567251462,0.9079593842122502,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.669620290000239,0.008423900000707363,0.00989279912278506,0.012849599999753991
16,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9056665574844415,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.7765803920010512,0.008548800000426127,0.01031866226312878,0.020504499998423853
17,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9038650507697346,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.6670076930004143,0.008467699999528122,0.00993382105261525,0.01375940000070841
18,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9064854241729446,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.8009685010001704,0.008409500000198022,0.01019454472794965,0.017334300000584335
19,C,X,None,0.7456140350877193,0.71,1.0,0.8304093567251462,0.9005895840157223,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.6307586040002207,0.00850669999999809,0.009826004394693754,0.013175500000215834
20,C,X,None,0.7456140350877193,0.71,1.0,0.8304093567251462,0.9035375040943334,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.6522764999990613,0.0084513000001607,0.009828178947269376,0.017317100000582286
21,C,X,None,0.7456140350877193,0.71,1.0,0.8304093567251462,0.9084507042253521,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.7246129980012483,0.008511100000760052,0.0101104807018489,0.01820130000123754
22,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9058303308221421,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.6785134359997755,0.0085479999997915,0.009887486061463852,0.01523090100090485
23,C,X,None,0.7456140350877193,0.71,1.0,0.8304093567251462,0.9094333442515559,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.855208073999165,0.008702199998879223,0.01036321424566778,0.020890899999358226
24,C,X,None,0.7543859649122807,0.7171717171717171,1.0,0.8352941176470589,0.9053390108090403,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.814186592999249,0.008765800999753992,0.010260116114072286,0.015170799999395967
25,C,X,None,0.7456140350877193,0.71,1.0,0.8304093567251462,0.911562397641664,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,3.753766818999793,0.008591401001467602,0.010154024965008272,0.02387630100020033
1,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7671143137897151,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.813981049001086,0.0389777000000322,0.0458204412368599,0.09091410099972563
2,C,X,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.7911889944317065,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.890172375000475,0.04025800000090385,0.0462322328683417,0.06143830099972547
3,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7314117261709794,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,8.069707569000457,0.03993869999976596,0.047718075824616936,0.18797880100100883
4,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8011791680314445,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.8108910269984335,0.04042000099980214,0.04584035774549097,0.0600654999998369
5,C,X,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.8501473960039305,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,8.026933309000015,0.04011840099883557,0.046902293035185595,0.06748770400008652
6,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8321323288568621,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,8.433334002000265,0.03970440000011877,0.05002725207014647,0.14694470200083742
7,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7854569276121848,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.9679350559999875,0.040084500000375556,0.04663623192987998,0.06759360100113554
8,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8296757287913528,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,8.048880374000873,0.03971160100081761,0.04734232499116555,0.0632261999999173
9,C,X,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.7872584343268916,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,8.015312844001528,0.039862900999651174,0.047129553473655904,0.130797502999485
10,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7974123812643302,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.9493240940009855,0.0401129010006116,0.046567109236843464,0.08211280000068655
11,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7667867671143138,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.86715933800042,0.039779500000804546,0.04608228089467989,0.06311970000024303
12,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8236161152964298,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,8.02753723999922,0.04069070000150532,0.0473449171930106,0.13079150100020343
13,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7612184736324926,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.823727679999138,0.04016029900049034,0.04574694108767992,0.05836289999933797
14,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8134621683589911,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.948051545001363,0.040627099999255734,0.04663974242096932,0.06242310100060422
15,C,X,Basic,0.631578947368421,0.6283185840707964,1.0,0.7717391304347826,0.7993776613167376,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,8.046192198000426,0.04091210099977616,0.04693108189463888,0.13065390500014473
16,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7725188339338356,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.842455510999571,0.040053299999271985,0.04574570240334939,0.058014501999423373
17,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.774975433999345,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.892627702000027,0.03999079999994137,0.046113828956039105,0.05808429999888176
18,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7749754339993449,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,8.095200203999411,0.0396850999986782,0.048086157929933586,0.13893279900003108
19,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7179823124795284,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.9474110920000385,0.039722100000290084,0.04665569115796212,0.05998799900044105
20,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8074025548640681,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,7.968533793000461,0.039407199999914155,0.04676240695609299,0.10005110000020068
21,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8370455289878808,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,8.197687502999543,0.039963600000191946,0.04862886230698917,0.13603370000055293
22,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.8118244349819849,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.27788419999888,0.0451721000008547,0.061067567543942824,0.2504016999992018
23,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7813625941696691,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,13.33370586500132,0.04298279999966326,0.07767357814036427,0.21435059999930672
24,C,X,Basic,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676,0.7233868326236489,1024,1024.0,1024,1024,1024,1024.0,0,0,0.0,10.58460604299944,0.04525009800090629,0.06337939552639382,0.2593900930005475
