iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
1,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.66,1024,1024.0,1024,1.3562914169997384,0.02037209999980405,0.022464970283363073,0.04272170100011863
2,A,X,None,0.65,0.6666666666666666,0.32,0.43243243243243246,0.6759999999999999,1024,1024.0,1024,1.830138323999563,0.020702499999970314,0.03032501373342408,0.10684480199961399
3,A,X,None,0.65,0.6666666666666666,0.32,0.43243243243243246,0.6742857142857143,1024,1024.0,1024,1.4013344180002605,0.020698000000265893,0.023205308633350796,0.031739799998831586
4,A,X,None,0.6666666666666666,0.7272727272727273,0.32,0.4444444444444444,0.6748571428571428,1024,1024.0,1024,1.3396750169995357,0.020376000000396743,0.022192855283537937,0.030810799999017036
5,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.6651428571428571,1024,1024.0,1024,1.3425610530011909,0.02064559999962512,0.02225109419993411,0.02806380000038189
6,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.6422857142857143,1024,1024.0,1024,1.5344931990002806,0.02041270799963968,0.02543450160004189,0.12599704900094366
7,A,X,None,0.65,0.6666666666666666,0.32,0.43243243243243246,0.6554285714285714,1024,1024.0,1024,1.34511032500086,0.020457908000025782,0.022291032066793073,0.026366910000433563
8,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.6577142857142857,1024,1024.0,1024,1.4706816729994898,0.020580607999363565,0.024369569533276566,0.03424161300063133
9,A,X,None,0.65,0.6666666666666666,0.32,0.43243243243243246,0.6805714285714286,1024,1024.0,1024,1.38177683899994,0.020500708000326995,0.022894952249923033,0.04724181800156657
10,A,X,None,0.6666666666666666,0.7272727272727273,0.32,0.4444444444444444,0.6491428571428571,1024,1024.0,1024,1.3731820359989797,0.020743208000567392,0.022752270583259813,0.02809101099956024
11,A,X,None,0.6333333333333333,0.6363636363636364,0.28,0.3888888888888889,0.6714285714285715,1024,1024.0,1024,1.3353622360009467,0.020623907999834046,0.022101483899981154,0.029963527000290924
12,A,X,None,0.6666666666666666,0.7272727272727273,0.32,0.4444444444444444,0.6748571428571429,1024,1024.0,1024,1.3771535150008276,0.02081721899958211,0.022820925150002343,0.02835692500048026
13,A,X,None,0.6666666666666666,0.7272727272727273,0.32,0.4444444444444444,0.6565714285714286,1024,1024.0,1024,1.3918286269999953,0.020820318999540177,0.023054843650091545,0.032236429000477074
14,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.6708571428571428,1024,1024.0,1024,1.3955234299992298,0.02056471799915016,0.023127808683299615,0.036491332999503356
15,A,X,None,0.6666666666666666,0.7272727272727273,0.32,0.4444444444444444,0.6748571428571428,1024,1024.0,1024,1.3880013239995606,0.020784017999176285,0.022996226883242342,0.027450724001027993
16,A,X,None,0.65,0.6666666666666666,0.32,0.43243243243243246,0.6582857142857144,1024,1024.0,1024,1.3996107340008166,0.0206546179997531,0.023183317100119893,0.03371542999957455
17,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.6737142857142857,1024,1024.0,1024,1.408041212000171,0.020655702999647474,0.023336396866670838,0.03203350399962801
18,A,X,None,0.65,0.6666666666666666,0.32,0.43243243243243246,0.6668571428571428,1024,1024.0,1024,1.429342393999832,0.020682502999989083,0.02367702986675795,0.039436005001334706
19,A,X,None,0.65,0.6666666666666666,0.32,0.43243243243243246,0.6617142857142857,1024,1024.0,1024,1.3469512829997257,0.02072640300139028,0.0223189413667266,0.03189690500039433
20,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.6554285714285715,1024,1024.0,1024,1.4709607000004326,0.020718902998851263,0.02438068664993504,0.10717391399884946
21,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.6651428571428571,1024,1024.0,1024,1.395808789999137,0.020904402999804006,0.02312202981665905,0.028350504000627552
22,A,X,None,0.65,0.6666666666666666,0.32,0.43243243243243246,0.6685714285714286,1024,1024.0,1024,1.4538525980005943,0.02071940199857636,0.024093556599958297,0.03596410499994818
23,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.6497142857142857,1024,1024.0,1024,1.3811290889989323,0.020885301999442163,0.022876708066754268,0.031981803998860414
24,A,X,None,0.6333333333333333,0.6153846153846154,0.32,0.42105263157894735,0.656,1024,1024.0,1024,1.385089789999256,0.020919902999594342,0.022949293149940785,0.02719720400091319
25,A,X,None,0.6666666666666666,0.7272727272727273,0.32,0.4444444444444444,0.6679999999999999,1024,1024.0,1024,1.4418371969986765,0.020756602998517337,0.023886268266657375,0.034152505000747624
1,A,X,Basic,0.4666666666666667,0.43636363636363634,0.96,0.6,0.6177142857142858,1024,1024.0,1024,6.338838484000007,0.09671301300113555,0.10551083290007833,0.209816790998957
2,A,X,Basic,0.4166666666666667,0.41379310344827586,0.96,0.5783132530120482,0.5645714285714286,1024,1024.0,1024,6.812764492999122,0.0990333190002275,0.11340121480006929,0.1506331290001981
3,A,X,Basic,0.45,0.42592592592592593,0.92,0.5822784810126582,0.5205714285714285,1024,1024.0,1024,6.774288599001011,0.09825522099890804,0.11275354660013666,0.19730654100021638
4,A,X,Basic,0.4666666666666667,0.43636363636363634,0.96,0.6,0.6062857142857143,1024,1024.0,1024,7.377786015000311,0.09670462099893484,0.12277252685007625,0.25572765600009006
5,A,X,Basic,0.43333333333333335,0.42105263157894735,0.96,0.5853658536585366,0.7194285714285713,1024,1024.0,1024,6.896963094999592,0.09808701200017822,0.11480108653340722,0.1713175200002297
6,A,X,Basic,0.45,0.42857142857142855,0.96,0.5925925925925926,0.6839999999999999,1024,1024.0,1024,7.911731170001076,0.0977448829999048,0.1317035778833997,0.4713385200011544
7,A,X,Basic,0.43333333333333335,0.41818181818181815,0.92,0.575,0.5382857142857143,1024,1024.0,1024,7.069828138999583,0.10090600999865273,0.11767015233329706,0.2218165210015286
8,A,X,Basic,0.4166666666666667,0.4074074074074074,0.88,0.5569620253164557,0.504,1024,1024.0,1024,6.61584602000039,0.0993384760004119,0.11011813870006032,0.13417311200100812
9,A,X,Basic,0.5333333333333333,0.47058823529411764,0.96,0.631578947368421,0.5537142857142857,1024,1024.0,1024,6.789110391000577,0.10043187600058445,0.11300622821675764,0.19637732900082483
10,A,X,Basic,0.45,0.43103448275862066,1.0,0.6024096385542169,0.684,1024,1024.0,1024,6.523212912999952,0.10050201400008518,0.1085799435332774,0.19893012800093857
11,A,X,Basic,0.45,0.42857142857142855,0.96,0.5925925925925926,0.5331428571428571,1024,1024.0,1024,6.572240946999955,0.10063218499999493,0.10940356078314532,0.12882918200011773
12,A,X,Basic,0.4,0.40350877192982454,0.92,0.5609756097560976,0.6291428571428572,1024,1024.0,1024,6.561833215000661,0.0994713119998778,0.10922419523334005,0.1886205240007257
13,A,X,Basic,0.4,0.39215686274509803,0.8,0.5263157894736842,0.6005714285714285,1024,1024.0,1024,6.737899079000272,0.10006950800016057,0.1121506813000451,0.21023761600008584
14,A,X,Basic,0.48333333333333334,0.4444444444444444,0.96,0.6075949367088608,0.6314285714285715,1024,1024.0,1024,7.244641290999425,0.09999580899966531,0.12057258651669447,0.1764265140009229
15,A,X,Basic,0.48333333333333334,0.44,0.88,0.5866666666666667,0.6685714285714285,1024,1024.0,1024,6.776867394000874,0.09759150799982308,0.11277790318329911,0.18776841599901672
16,A,X,Basic,0.5,0.45098039215686275,0.92,0.6052631578947368,0.5542857142857143,1024,1024.0,1024,6.607102996000322,0.09953239600145025,0.10997994826663368,0.22118329099976108
17,A,X,Basic,0.36666666666666664,0.37735849056603776,0.8,0.5128205128205128,0.5417142857142857,1024,1024.0,1024,7.056376279999313,0.10122692999902938,0.1174416646499291,0.28477990999999747
18,A,X,Basic,0.43333333333333335,0.42105263157894735,0.96,0.5853658536585366,0.6411428571428571,1024,1024.0,1024,6.654016419000982,0.09980610400089063,0.11075771533332954,0.19011766999938118
19,A,X,Basic,0.38333333333333336,0.3888888888888889,0.84,0.5316455696202531,0.5114285714285715,1024,1024.0,1024,6.652428433999376,0.09960695900008432,0.1107357873333361,0.2153715939984977
20,A,X,Basic,0.55,0.4807692307692308,1.0,0.6493506493506493,0.7062857142857143,1024,1024.0,1024,6.622420001000137,0.09727272500094841,0.11022465500012307,0.15653920499971719
21,A,X,Basic,0.5166666666666667,0.46,0.92,0.6133333333333333,0.6485714285714287,1024,1024.0,1024,6.489978939998764,0.09629622400098015,0.10796871400004117,0.20389735299977474
22,A,X,Basic,0.48333333333333334,0.4444444444444444,0.96,0.6075949367088608,0.628,1024,1024.0,1024,6.480058315999486,0.0975083880002785,0.1078591269332719,0.19726687600086734
23,A,X,Basic,0.4666666666666667,0.43636363636363634,0.96,0.6,0.49828571428571433,1024,1024.0,1024,6.473383767999621,0.09742979200018453,0.1077505261335015,0.14467540399891732
24,A,X,Basic,0.4166666666666667,0.4074074074074074,0.88,0.5569620253164557,0.4982857142857143,1024,1024.0,1024,6.975849973001459,0.09945400299875473,0.11611335788335661,0.22056780599996273
